PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY,PRICE,PRODUCT_COLOR,MANUFACTURING_DATE,EXPIRATION_DATE,WARRANTY_PERIOD,RATING,WEIGHT_GRAMS,DISCOUNT_PERCENTAGE
prod-00046,Thomas' English Muffins (46),Bakery,12.42,Black,2023-05-07,2027-09-23,22 months,4.5,1997,30
prod-00047,Strawberries 1lb (47),Fruits,77.06,Green,2022-12-03,2024-10-16,22 months,3.2,494,15
prod-00048,Russet Potatoes 5lb (48),Vegetables,39.87,Purple,2022-10-20,2026-11-27,23 months,3.7,611,25
prod-00049,Stouffer's Lasagna (49),Frozen Foods,46.75,White,2023-02-23,2026-10-27,22 months,4.7,900,15
prod-00050,King's Hawaiian Rolls (50),Bakery,87.62,White,2023-05-05,2025-08-15,8 months,3.1,424,30
prod-00051,Marie Callender's Chicken Pot Pie (51),Frozen Foods,82.72,Yellow,2021-12-01,2025-08-16,14 months,4.9,1861,20
prod-00052,Chex Mix Traditional (52),Snacks,9.71,White,2020-09-21,2027-06-12,9 months,5.0,195,20
prod-00053,King's Hawaiian Rolls (53),Bakery,87.40,Yellow,2023-09-26,2027-02-13,33 months,3.2,273,30
prod-00054,Red Bell Peppers (54),Vegetables,57.50,Green,2022-09-24,2029-03-03,26 months,3.6,443,15
prod-00055,Starbucks Cold Brew (55),Beverages,27.30,Purple,2023-10-07,2026-05-13,9 months,3.7,304,5
prod-00056,Land O'Lakes Butter (56),Dairy,92.46,Black,2023-02-17,2027-04-23,36 months,4.6,154,20
prod-00057,Chobani Greek Yogurt (57),Dairy,86.77,Orange,2023-01-06,2025-11-08,23 months,4.2,1870,30
prod-00058,Birds Eye Steamfresh Broccoli (58),Frozen Foods,99.37,Purple,2022-06-01,2026-08-30,14 months,4.3,809,10
prod-00059,Navel Oranges (59),Fruits,64.96,Purple,2023-11-27,2028-12-20,25 months,4.5,325,25
prod-00060,Lay's Classic Potato Chips (60),Snacks,75.70,Red,2022-12-23,2024-08-27,15 months,3.2,1430,30
prod-00061,Navel Oranges (61),Fruits,77.37,Purple,2023-07-05,2028-01-14,21 months,4.7,1404,30
prod-00062,Dave's Killer Bread (62),Bakery,9.02,Purple,2023-01-21,2026-11-09,27 months,4.4,1740,10
prod-00063,Broccoli Crowns (63),Vegetables,31.87,Yellow,2022-12-21,2024-12-30,18 months,4.2,1914,20
prod-00064,King's Hawaiian Rolls (64),Bakery,47.73,Green,2021-01-26,2024-11-16,31 months,4.8,1813,0
prod-00065,Pringles Sour Cream & Onion (65),Snacks,88.21,White,2022-12-31,2026-12-04,17 months,4.4,401,15
prod-00066,Lay's Classic Potato Chips (66),Snacks,50.58,Green,2021-10-18,2025-05-13,11 months,3.4,1328,5
prod-00067,Kind Protein Bars (67),Snacks,84.78,Black,2022-11-02,2027-11-11,27 months,3.9,319,10
prod-00068,Sargento Shredded Cheddar (68),Dairy,48.05,Red,2022-12-25,2025-04-03,22 months,4.0,1103,10
prod-00069,Chex Mix Traditional (69),Snacks,69.66,Purple,2021-07-13,2027-09-27,20 months,3.1,527,0
prod-00070,Silk Almond Milk (70),Dairy,87.47,Orange,2024-02-20,2028-05-05,21 months,4.9,240,20
prod-00071,Nestle Pure Life Water 6-Pack (71),Beverages,88.62,Blue,2020-08-09,2027-09-25,27 months,3.3,554,0
prod-00072,Entenmann's Chocolate Donuts (72),Bakery,29.19,Black,2019-10-20,2027-04-07,13 months,4.4,244,5
prod-00073,Lay's Classic Potato Chips (73),Snacks,82.33,Yellow,2023-06-01,2028-06-06,33 months,4.0,1068,20
prod-00074,Blueberries Pint (74),Fruits,93.96,Green,2020-06-14,2027-04-25,14 months,3.1,625,10
prod-00075,Strawberries 1lb (75),Fruits,93.76,Orange,2022-01-08,2027-08-21,23 months,4.8,257,10
prod-00076,Dole Pineapple Chunks (76),Fruits,86.60,Red,2024-05-28,2025-07-15,34 months,4.7,204,30
prod-00077,Kind Protein Bars (77),Snacks,16.38,Red,2020-01-12,2029-05-20,7 months,4.0,841,15
prod-00078,Tropicana Orange Juice 1L (78),Beverages,23.77,Red,2021-01-18,2025-12-09,11 months,3.5,989,5
prod-00079,Avocados 4-Pack (79),Fruits,38.71,Yellow,2022-11-12,2025-12-27,8 months,3.2,388,30
prod-00080,Sweet Potatoes (80),Vegetables,72.90,Purple,2019-09-14,2029-01-20,36 months,3.7,731,30
prod-00081,Red Bull Energy Drink (81),Beverages,52.01,White,2021-01-27,2027-09-08,27 months,3.5,1817,10
prod-00082,Land O'Lakes Butter (82),Dairy,22.43,Red,2024-01-17,2027-07-22,27 months,4.0,1308,0
prod-00083,Green Giant Cauliflower Rice (83),Frozen Foods,42.78,Green,2020-02-14,2028-11-17,19 months,4.9,1340,10
prod-00084,Thomas' English Muffins (84),Bakery,16.09,White,2023-06-11,2026-06-20,10 months,4.1,1154,0
prod-00085,Broccoli Crowns (85),Vegetables,87.58,Purple,2021-06-16,2027-03-18,22 months,4.8,378,0
prod-00086,Starbucks Cold Brew (86),Beverages,67.08,Orange,2019-11-30,2025-05-25,19 months,4.3,1047,25
prod-00087,Green Giant Cauliflower Rice (87),Frozen Foods,68.07,White,2024-08-05,2025-02-16,24 months,4.0,1598,25
prod-00088,Popcorners Kettle Corn (88),Snacks,44.42,Orange,2019-12-11,2027-08-21,10 months,4.7,324,30
prod-00089,Land O'Lakes Butter (89),Dairy,41.88,Yellow,2021-07-06,2025-05-09,12 months,3.9,1945,25
prod-00090,Lay's Classic Potato Chips (90),Snacks,44.77,Purple,2022-03-02,2025-09-06,19 months,4.7,1810,20
prod-00091,Cucumbers 2-Pack (91),Vegetables,74.04,Green,2023-12-06,2025-08-15,21 months,3.6,1300,20
prod-00092,Popcorners Kettle Corn (92),Snacks,5.59,Green,2020-10-15,2029-08-19,30 months,3.3,183,30
prod-00093,Cabot Vermont Cheddar (93),Dairy,7.64,Yellow,2020-03-03,2026-04-19,7 months,4.7,1691,10
prod-00094,Seedless Red Grapes (94),Fruits,41.54,Yellow,2022-06-08,2029-01-04,29 months,4.2,191,10
prod-00095,Land O'Lakes Butter (95),Dairy,11.83,Black,2020-07-21,2026-02-09,9 months,4.8,107,0
prod-00096,Chobani Greek Yogurt (96),Dairy,85.33,Green,2020-12-29,2027-12-05,15 months,4.9,1785,20
prod-00097,Avocados 4-Pack (97),Fruits,26.47,Yellow,2023-11-16,2028-03-26,26 months,3.1,1697,30
prod-00098,Sweet Potatoes (98),Vegetables,17.71,Blue,2022-07-28,2028-04-15,36 months,4.0,1177,10
prod-00099,Ben & Jerry's Chocolate Fudge Brownie (99),Frozen Foods,2.08,Yellow,2021-06-10,2026-09-18,16 months,3.7,1286,20
prod-00100,Organic Gala Apples (100),Fruits,94.21,Blue,2024-04-30,2024-11-16,19 months,4.3,1754,5
prod-00101,Pepsi Zero Sugar (101),Beverages,46.50,Yellow,2019-11-17,2027-08-14,21 months,4.6,578,0
prod-00102,Marie Callender's Chicken Pot Pie (102),Frozen Foods,87.77,Green,2024-05-11,2026-03-18,18 months,3.6,207,25
prod-00103,Broccoli Crowns (103),Vegetables,3.69,Purple,2024-07-21,2028-09-19,12 months,4.1,1979,30
prod-00104,Roma Tomatoes (104),Vegetables,34.53,Blue,2021-01-02,2026-03-19,32 months,4.4,1394,20
prod-00105,Dave's Killer Bread (105),Bakery,31.60,Purple,2022-02-05,2025-08-28,35 months,3.3,1749,10
prod-00106,Lipton Green Tea (106),Beverages,70.73,Red,2020-04-25,2029-04-30,18 months,4.6,336,30
prod-00107,Lay's Classic Potato Chips (107),Snacks,39.09,Black,2022-10-05,2029-04-22,15 months,4.2,1384,30
prod-00108,Seedless Red Grapes (108),Fruits,59.83,Green,2023-12-30,2026-06-15,13 months,4.9,1081,0
prod-00109,Coca-Cola Classic 12-Pack (109),Beverages,33.29,Red,2021-01-19,2025-01-04,28 months,3.7,628,15
prod-00110,Land O'Lakes Butter (110),Dairy,16.46,Green,2022-03-10,2028-06-27,26 months,3.2,1727,0
prod-00111,Yoplait Original Yogurt (111),Dairy,34.95,Purple,2020-10-07,2028-04-05,23 months,4.0,728,5
prod-00112,Coca-Cola Classic 12-Pack (112),Beverages,7.96,Orange,2023-06-09,2026-11-18,28 months,3.2,1510,0
prod-00113,Wonder Bread Classic White (113),Bakery,20.68,Yellow,2023-02-18,2027-11-10,20 months,4.9,1526,25
prod-00114,Tropicana Orange Juice 1L (114),Beverages,26.92,Green,2022-04-01,2027-04-03,19 months,3.1,1481,25
prod-00115,Birds Eye Steamfresh Broccoli (115),Frozen Foods,68.61,Blue,2024-05-30,2027-09-09,23 months,4.5,1342,20
prod-00116,Avocados 4-Pack (116),Fruits,48.61,Purple,2023-09-08,2028-06-09,27 months,4.1,1588,20
prod-00117,Organic Baby Spinach (117),Vegetables,17.75,Blue,2023-10-11,2025-11-01,15 months,3.7,1091,10
prod-00118,Doritos Nacho Cheese (118),Snacks,56.62,Blue,2021-11-13,2025-06-11,28 months,3.1,1544,10
prod-00119,Popcorners Kettle Corn (119),Snacks,13.26,Orange,2023-01-03,2025-09-08,30 months,4.2,1272,0
prod-00120,Chex Mix Traditional (120),Snacks,77.74,Black,2021-07-01,2026-04-07,33 months,4.2,1480,25
prod-00121,Birds Eye Steamfresh Broccoli (121),Frozen Foods,61.06,Yellow,2020-12-16,2028-12-30,28 months,3.6,1174,0
prod-00122,Stouffer's Lasagna (122),Frozen Foods,14.56,Purple,2024-07-04,2026-08-22,34 months,4.8,153,30
prod-00123,Avocados 4-Pack (123),Fruits,56.36,Purple,2022-01-13,2026-11-20,15 months,3.6,1262,25
prod-00124,Pepperidge Farm Milano Cookies (124),Bakery,85.03,Black,2022-03-24,2029-08-16,36 months,3.9,1793,30
prod-00125,Tropicana Orange Juice 1L (125),Beverages,78.83,Red,2023-06-11,2028-09-14,34 months,4.1,1981,0
prod-00126,Chobani Greek Yogurt (126),Dairy,59.07,Purple,2024-07-15,2027-07-04,8 months,3.2,848,20
prod-00127,Popcorners Kettle Corn (127),Snacks,36.54,Red,2023-04-10,2027-08-03,29 months,4.9,1236,20
prod-00128,Nestle Pure Life Water 6-Pack (128),Beverages,34.36,Yellow,2021-01-06,2027-08-07,22 months,3.7,526,15
prod-00129,Hot Pockets Ham & Cheese (129),Frozen Foods,58.34,Blue,2024-05-22,2027-06-19,9 months,3.2,597,15
prod-00130,Dole Pineapple Chunks (130),Fruits,92.90,Blue,2023-07-03,2026-08-14,16 months,3.8,1415,15
prod-00131,Ben & Jerry's Chocolate Fudge Brownie (131),Frozen Foods,26.26,Blue,2022-11-27,2027-01-27,23 months,4.2,445,10
prod-00132,Lipton Green Tea (132),Beverages,85.39,Orange,2020-11-19,2027-09-14,15 months,4.0,610,20
prod-00133,Stouffer's Lasagna (133),Frozen Foods,65.05,Blue,2020-12-31,2025-08-04,34 months,4.4,540,0
prod-00134,DiGiorno Pepperoni Pizza (134),Frozen Foods,51.89,Black,2022-09-22,2028-01-23,34 months,3.1,1869,0
prod-00135,Blueberries Pint (135),Fruits,61.56,Purple,2024-03-15,2025-10-16,36 months,3.6,1755,15
prod-00136,Gatorade Lemon-Lime (136),Beverages,11.26,Yellow,2022-01-04,2029-08-09,14 months,4.6,1726,10
prod-00137,Philadelphia Cream Cheese (137),Dairy,11.61,Orange,2019-12-26,2025-09-13,32 months,3.2,1021,10
prod-00138,Avocados 4-Pack (138),Fruits,72.47,White,2023-11-13,2026-03-04,23 months,4.7,821,15
prod-00139,Entenmann's Chocolate Donuts (139),Bakery,29.83,Purple,2020-04-10,2029-07-01,16 months,3.2,1604,0
prod-00140,Russet Potatoes 5lb (140),Vegetables,65.24,Red,2024-04-10,2027-10-24,13 months,4.7,327,10
prod-00141,Entenmann's Chocolate Donuts (141),Bakery,56.35,White,2021-02-24,2028-12-10,34 months,3.7,1096,25
prod-00142,Silk Almond Milk (142),Dairy,5.65,Blue,2024-08-16,2029-07-26,22 months,4.2,709,25
prod-00143,Oreo Double Stuf Cookies (143),Snacks,32.49,Red,2023-11-07,2025-05-24,13 months,3.3,927,5
prod-00144,Roma Tomatoes (144),Vegetables,96.60,Green,2022-10-03,2028-06-22,7 months,3.1,1213,25
prod-00145,Pepsi Zero Sugar (145),Beverages,30.40,Orange,2024-02-06,2029-05-10,19 months,3.4,889,15
prod-00146,Bananas Bunch (146),Fruits,25.64,Yellow,2021-01-17,2025-01-03,21 months,3.3,1659,0
prod-00147,Silk Almond Milk (147),Dairy,8.55,Purple,2019-10-04,2025-08-03,28 months,3.6,495,5
prod-00148,Starbucks Cold Brew (148),Beverages,50.33,White,2023-09-14,2027-09-12,17 months,4.0,1198,20
prod-00149,Sweet Potatoes (149),Vegetables,92.24,Blue,2023-12-28,2025-09-27,9 months,4.2,927,0
prod-00150,King's Hawaiian Rolls (150),Bakery,16.75,Purple,2021-04-17,2028-01-07,11 months,4.6,1784,30
prod-00151,Land O'Lakes Butter (151),Dairy,97.45,Orange,2023-03-17,2029-05-09,8 months,4.3,1459,5
prod-00152,Chobani Greek Yogurt (152),Dairy,30.81,Blue,2021-11-07,2027-01-29,18 months,4.2,1287,20
prod-00153,Yoplait Original Yogurt (153),Dairy,92.77,Blue,2024-01-20,2027-05-03,24 months,3.8,1642,10
prod-00154,Seedless Red Grapes (154),Fruits,28.92,Black,2023-04-24,2025-08-13,33 months,3.9,1056,0
prod-00155,Seedless Red Grapes (155),Fruits,85.91,Green,2024-02-29,2029-03-27,16 months,3.8,664,0
prod-00156,Bananas Bunch (156),Fruits,1.91,Green,2021-11-05,2025-10-31,7 months,4.7,255,10
prod-00157,Doritos Nacho Cheese (157),Snacks,71.39,Red,2021-03-02,2025-06-25,28 months,3.5,891,0
prod-00158,Organic Gala Apples (158),Fruits,46.98,Red,2019-08-27,2026-06-10,10 months,3.0,602,15
prod-00159,Bananas Bunch (159),Fruits,80.66,White,2021-03-30,2026-04-15,34 months,4.3,1944,30
prod-00160,Birds Eye Steamfresh Broccoli (160),Frozen Foods,98.46,Yellow,2020-06-14,2026-04-17,6 months,3.4,880,5
prod-00161,Organic Baby Spinach (161),Vegetables,82.89,Green,2023-03-18,2027-05-08,27 months,4.8,433,20
prod-00162,Yoplait Original Yogurt (162),Dairy,30.00,Blue,2023-09-12,2028-02-29,23 months,4.7,590,20
prod-00163,Green Giant Cauliflower Rice (163),Frozen Foods,6.02,White,2022-08-28,2025-12-12,20 months,3.2,1730,5
prod-00164,Marie Callender's Chicken Pot Pie (164),Frozen Foods,67.44,Green,2022-08-31,2028-08-17,28 months,3.2,427,15
prod-00165,Coca-Cola Classic 12-Pack (165),Beverages,15.63,Black,2021-10-21,2028-10-24,17 months,4.0,100,0
prod-00166,Broccoli Crowns (166),Vegetables,9.24,White,2021-11-02,2028-02-21,14 months,4.2,1483,10
prod-00167,Organic Gala Apples (167),Fruits,34.39,Red,2020-07-07,2028-06-09,11 months,3.5,726,10
prod-00168,Oreo Double Stuf Cookies (168),Snacks,67.15,Red,2024-04-29,2028-06-26,25 months,4.4,1460,30
prod-00169,Cabot Vermont Cheddar (169),Dairy,75.39,Blue,2024-07-08,2025-12-29,22 months,4.2,1676,0
prod-00170,Silk Almond Milk (170),Dairy,82.14,White,2022-09-20,2027-05-28,34 months,3.6,286,25
prod-00171,Chobani Greek Yogurt (171),Dairy,48.17,Purple,2021-10-22,2025-04-21,17 months,3.1,368,20
prod-00172,Coca-Cola Classic 12-Pack (172),Beverages,43.68,White,2019-11-21,2027-03-16,7 months,4.5,1554,5
prod-00173,Seedless Red Grapes (173),Fruits,88.33,Yellow,2024-07-26,2026-03-26,10 months,3.4,1662,5
prod-00174,Ben & Jerry's Chocolate Fudge Brownie (174),Frozen Foods,30.69,Yellow,2023-03-24,2027-01-23,16 months,4.7,222,20
prod-00175,Hot Pockets Ham & Cheese (175),Frozen Foods,20.80,Purple,2023-01-20,2026-06-10,16 months,3.8,651,5
prod-00176,Nestle Pure Life Water 6-Pack (176),Beverages,26.46,Blue,2023-11-26,2026-04-30,23 months,4.2,1342,20
prod-00177,Pepperidge Farm Milano Cookies (177),Bakery,20.10,Orange,2024-08-01,2026-07-22,27 months,4.7,1539,15
prod-00178,Gatorade Lemon-Lime (178),Beverages,94.14,Orange,2024-04-22,2026-01-16,9 months,4.7,1889,0
prod-00179,Navel Oranges (179),Fruits,57.11,Purple,2019-09-07,2028-05-22,15 months,3.7,1309,20
prod-00180,Carrots 2lb Bag (180),Vegetables,1.86,Green,2021-07-25,2026-03-23,15 months,3.4,687,15
prod-00181,Entenmann's Chocolate Donuts (181),Bakery,30.93,Green,2019-12-28,2025-12-18,29 months,4.6,1687,20
prod-00182,Coca-Cola Classic 12-Pack (182),Beverages,69.19,Blue,2023-08-07,2028-07-15,35 months,3.9,1328,15
prod-00183,Cucumbers 2-Pack (183),Vegetables,4.99,Yellow,2023-02-23,2028-10-20,19 months,3.4,435,15
prod-00184,Dole Pineapple Chunks (184),Fruits,85.83,Yellow,2021-03-11,2028-04-07,11 months,4.8,1925,15
prod-00185,Chobani Greek Yogurt (185),Dairy,27.07,Red,2020-11-27,2026-07-23,8 months,3.4,489,30
prod-00186,Russet Potatoes 5lb (186),Vegetables,20.94,Purple,2022-02-10,2027-10-08,32 months,3.1,403,0
prod-00187,Kind Protein Bars (187),Snacks,22.78,Yellow,2020-07-06,2027-05-20,17 months,3.0,1013,30
prod-00188,Gatorade Lemon-Lime (188),Beverages,17.70,White,2020-07-01,2026-06-24,23 months,4.2,948,20
prod-00189,DiGiorno Pepperoni Pizza (189),Frozen Foods,84.77,White,2022-02-16,2029-05-06,9 months,4.3,1802,25
prod-00190,Lay's Classic Potato Chips (190),Snacks,51.42,Purple,2020-04-06,2027-12-30,12 months,3.6,1635,30
prod-00191,Doritos Nacho Cheese (191),Snacks,93.35,Green,2021-08-06,2029-07-07,30 months,3.6,1898,20
prod-00192,Bananas Bunch (192),Fruits,4.32,Green,2024-03-20,2025-08-06,21 months,3.7,1897,20
prod-00193,Navel Oranges (193),Fruits,54.99,White,2019-12-15,2026-10-22,14 months,4.4,1071,15
prod-00194,Yoplait Original Yogurt (194),Dairy,90.75,Orange,2021-09-17,2025-05-03,26 months,3.1,325,5
prod-00195,Roma Tomatoes (195),Vegetables,51.74,Red,2022-12-07,2026-01-04,29 months,4.9,1944,5
prod-00196,Starbucks Cold Brew (196),Beverages,8.31,Orange,2022-06-17,2024-12-29,8 months,3.4,612,20
prod-00197,Marie Callender's Chicken Pot Pie (197),Frozen Foods,81.60,Red,2020-04-19,2026-07-05,31 months,5.0,1109,5
prod-00198,Roma Tomatoes (198),Vegetables,58.57,Orange,2023-07-28,2026-08-07,18 months,3.3,128,25
prod-00199,Kind Protein Bars (199),Snacks,58.98,Black,2020-08-10,2026-09-12,17 months,4.5,703,30
prod-00200,Avocados 4-Pack (200),Fruits,76.01,White,2019-08-24,2027-04-23,15 months,3.4,1064,5
prod-00201,Sargento Shredded Cheddar (201),Dairy,69.77,Purple,2022-01-21,2029-08-17,18 months,3.2,1080,5
prod-00202,Sargento Shredded Cheddar (202),Dairy,8.79,Green,2022-02-18,2025-06-27,30 months,4.7,714,15
prod-00203,Blueberries Pint (203),Fruits,28.03,Green,2020-04-23,2026-10-25,19 months,4.7,1106,30
prod-00204,Oroweat Whole Grain Bread (204),Bakery,5.15,Red,2022-10-24,2025-05-16,21 months,3.8,1635,20
prod-00205,Tropicana Orange Juice 1L (205),Beverages,39.97,Blue,2022-12-28,2025-06-04,17 months,4.4,1112,30
prod-00206,Strawberries 1lb (206),Fruits,83.69,Black,2024-02-26,2027-12-11,15 months,4.1,1758,25
prod-00207,Avocados 4-Pack (207),Fruits,31.47,Blue,2021-12-23,2025-03-11,8 months,4.7,1737,30
prod-00208,Doritos Nacho Cheese (208),Snacks,66.97,Red,2024-03-31,2028-01-15,13 months,3.6,1477,25
prod-00209,Tropicana Orange Juice 1L (209),Beverages,17.07,Red,2022-01-22,2025-06-11,16 months,4.0,824,30
prod-00210,Starbucks Cold Brew (210),Beverages,8.11,White,2020-06-13,2026-10-23,14 months,4.0,571,30
prod-00211,Carrots 2lb Bag (211),Vegetables,58.99,Red,2022-10-02,2029-05-30,6 months,3.7,788,20
prod-00212,Cabot Vermont Cheddar (212),Dairy,99.72,Green,2024-05-11,2027-01-27,15 months,4.8,414,25
prod-00213,Land O'Lakes Butter (213),Dairy,53.18,Blue,2023-05-13,2027-11-07,11 months,3.3,1008,10
prod-00214,Marie Callender's Chicken Pot Pie (214),Frozen Foods,17.73,Red,2020-04-13,2025-01-14,23 months,3.3,656,10
prod-00215,Red Bull Energy Drink (215),Beverages,96.55,Green,2022-06-21,2027-01-17,25 months,4.2,1041,5
prod-00216,Nestle Pure Life Water 6-Pack (216),Beverages,95.73,Orange,2020-09-07,2026-09-04,27 months,4.3,378,30
prod-00217,Sweet Potatoes (217),Vegetables,38.43,Red,2023-12-29,2028-07-11,36 months,3.4,1411,20
prod-00218,Oreo Double Stuf Cookies (218),Snacks,48.31,Orange,2021-11-22,2027-01-29,18 months,3.8,939,5
prod-00219,King's Hawaiian Rolls (219),Bakery,81.41,Blue,2023-02-19,2028-04-11,17 months,4.9,466,15
prod-00220,Sara Lee Honey Wheat Bread (220),Bakery,42.13,Orange,2021-05-09,2028-05-24,24 months,3.5,430,20
prod-00221,Oroweat Whole Grain Bread (221),Bakery,71.41,Black,2021-01-30,2027-11-22,7 months,4.3,496,25
prod-00222,Sargento Shredded Cheddar (222),Dairy,30.08,Red,2022-05-17,2029-05-07,29 months,4.5,1944,15
prod-00223,Dole Pineapple Chunks (223),Fruits,62.37,White,2022-11-04,2028-10-12,15 months,3.9,887,15
prod-00224,Kind Protein Bars (224),Snacks,58.88,Orange,2021-11-23,2025-08-16,13 months,4.9,484,20
prod-00225,Nestle Pure Life Water 6-Pack (225),Beverages,51.14,Yellow,2024-01-24,2029-01-23,15 months,4.5,1948,5
prod-00226,Dole Pineapple Chunks (226),Fruits,77.92,Orange,2023-06-07,2026-01-26,22 months,3.9,1701,10
